Genus,Species,sex,ID,CL,CW,mass,HL,HW,HH,LJL,BF,diet
Trachemys,scripta,j,TS13,48.54,45.22,20.59,16.41,11.28,8.67,11.11,5.14,omnivorous
Trachemys,scripta,j,TS14,49.89,47.09,22.79,15.8,11.18,8.79,11.55,6.02,omnivorous
Trachemys,scripta,j,TS12,52.23,49.77,27.33,17.08,11.8,9.16,11.15,4.54,omnivorous
Trachemys,scripta,f,TS23,60.1,57.37,41.77,18.67,13.12,10.03,13.86,7.04,omnivorous
Trachemys,scripta,j,TS10,60.16,56.93,40.61,19.86,13.13,10.45,12.76,9.68,omnivorous
Trachemys,scripta,m,TS4,61.44,53.74,40.5,30.03,11.24,11.36,19.54,5.21,omnivorous
Trachemys,scripta,f,TS2,61.47,59.83,52,,15.15,14.08,,6.88,omnivorous
Trachemys,scripta,j,TS11,61.5,57.73,45.57,20.01,13.15,10.68,14.34,10.85,omnivorous
Trachemys,scripta,j,TS8,67.78,65.53,35.26,19.83,13.78,11.32,13.71,9.69,omnivorous
Trachemys,scripta,j,TS9,72.1,62.36,58.05,19.98,14.47,11.23,15.21,5.58,omnivorous
Trachemys,scripta,m,TS7,92.38,76.72,122.22,25.3,17.46,13.66,18.61,15.27,omnivorous
Trachemys,scripta,f,TS6,94.98,79.26,131.47,22.62,17.85,13.41,16.64,12.04,omnivorous
Trachemys,scripta,f,TS5,100.51,86.16,164.39,26.12,17.27,14.21,18.96,15.55,omnivorous
Trachemys,scripta,m,TS1,103.35,83.54,164,29.66,18,16,18.53,14.37,omnivorous
Trachemys,scripta,,TS24,106.12,83.71,173.22,26.95,18.62,14.37,18.14,8.23,omnivorous
Trachemys,scripta,m,TS4,115.29,96.23,226.22,31.46,19.08,14.37,20.15,14.97,omnivorous
Trachemys,scripta,m,TS3,117.79,94.94,248.06,29.63,18.5,15.1,20.06,19.08,omnivorous
Trachemys,scripta,f,TS6,135.49,113.42,393,40.83,23.17,19.71,24.46,14.46,omnivorous
Trachemys,scripta,,TS25,139.66,111.06,489,38.93,25.04,19.12,27.66,31.98,omnivorous
Trachemys,scripta,m,TS2,145.58,116.32,465.5,35.84,22.91,17.46,26.08,24.66,omnivorous
Trachemys,scripta,f,TS1,147.18,118.8,471.5,35.76,21.97,17.21,25.17,19.06,omnivorous
Trachemys,scripta,,TS26,153.51,123.35,504,38.89,25.46,18.87,25.8,34.05,omnivorous
Trachemys,scripta,m,TS5,169.21,119.01,674,48.53,25.62,21.2,28.26,27.49,omnivorous
Trachemys,scripta,,TS27,187.63,140.84,949.5,42.29,28.23,22.43,31.78,35.21,omnivorous
Trachemys,scripta,,TS28,245,178.56,2132,52.08,38.04,27.6,46.62,104.14,omnivorous
